sample-id	forward-absolute-filepath	reverse-absolute-filepath	Don	Replicate	sample_date	sample_time	Total_Lobsters_ren	Total_Lobsters	PAV_count	EstimatedBiomass	Lat	Long	site_type	nBlocks	group
P1546_35_RS062024_3_2_16S_M_S35_L001	/scratch/16S-M/Data/fastp/P1546_35_RS062024_3_2_16S_M_S35_L001_R1_fastp.fastq.gz	/scratch/16S-M/Data/fastp/P1546_35_RS062024_3_2_16S_M_S35_L001_R2_fastp.fastq.gz	8	3_2	6_25_2024	8:45	3	2	0	81.45	24.852	-80.87	Block	12	north
P1546_32_RS062024_3_1_16S_M_S32_L001	/scratch/16S-M/Data/fastp/P1546_32_RS062024_3_1_16S_M_S32_L001_R1_fastp.fastq.gz	/scratch/16S-M/Data/fastp/P1546_32_RS062024_3_1_16S_M_S32_L001_R2_fastp.fastq.gz	8	3_1	6_25_2024	8:45	3	2	0	81.45	24.852	-80.87	Block	12	north
P1546_9_RS062024_4_3_16S_M_S9_L001	/scratch/16S-M/Data/fastp/P1546_9_RS062024_4_3_16S_M_S9_L001_R1_fastp.fastq.gz	/scratch/16S-M/Data/fastp/P1546_9_RS062024_4_3_16S_M_S9_L001_R2_fastp.fastq.gz	10	4_3	6_25_2024	10:10	14	11	3	500.82	24.848	-80.8949	Block	50	north
P1546_6_RS062024_4_2_16S_M_S6_L001	/scratch/16S-M/Data/fastp/P1546_6_RS062024_4_2_16S_M_S6_L001_R1_fastp.fastq.gz	/scratch/16S-M/Data/fastp/P1546_6_RS062024_4_2_16S_M_S6_L001_R2_fastp.fastq.gz	10	4_2	6_25_2024	10:10	14	11	3	500.82	24.848	-80.8949	Block	50	north
P1546_31_RS062024_4_1_16S_M_S31_L001	/scratch/16S-M/Data/fastp/P1546_31_RS062024_4_1_16S_M_S31_L001_R1_fastp.fastq.gz	/scratch/16S-M/Data/fastp/P1546_31_RS062024_4_1_16S_M_S31_L001_R2_fastp.fastq.gz	10	4_1	6_25_2024	10:10	14	11	3	500.82	24.848	-80.8949	Block	50	north
P1546_15_RS062024_6_1_16S_M_S15_L001	/scratch/16S-M/Data/fastp/P1546_15_RS062024_6_1_16S_M_S15_L001_R1_fastp.fastq.gz	/scratch/16S-M/Data/fastp/P1546_15_RS062024_6_1_16S_M_S15_L001_R2_fastp.fastq.gz	11	6_1	6_25_2024	12:47	10	7	2	428	24.845	-80.791	Natural		north
P1546_23_RS062024_6_2_16S_M_S23_L001	/scratch/16S-M/Data/fastp/P1546_23_RS062024_6_2_16S_M_S23_L001_R1_fastp.fastq.gz	/scratch/16S-M/Data/fastp/P1546_23_RS062024_6_2_16S_M_S23_L001_R2_fastp.fastq.gz	11	6_2	6_25_2024	12:47	10	7	2	428	24.845	-80.791	Natural		north
P1546_26_RS062024_6_3_16S_M_S26_L001	/scratch/16S-M/Data/fastp/P1546_26_RS062024_6_3_16S_M_S26_L001_R1_fastp.fastq.gz	/scratch/16S-M/Data/fastp/P1546_26_RS062024_6_3_16S_M_S26_L001_R2_fastp.fastq.gz	11	6_3	6_25_2024	12:47	10	7	2	428	24.845	-80.791	Natural		north
P1546_7_RS062024_5_3_16S_M_S7_L001	/scratch/16S-M/Data/fastp/P1546_7_RS062024_5_3_16S_M_S7_L001_R1_fastp.fastq.gz	/scratch/16S-M/Data/fastp/P1546_7_RS062024_5_3_16S_M_S7_L001_R2_fastp.fastq.gz	14	5_3	6_25_2024	11:22	23	21	4	754.73	24.84145	-80.83285	Block	50	north
P1546_17_RS062024_5_1_16S_M_S17_L001	/scratch/16S-M/Data/fastp/P1546_17_RS062024_5_1_16S_M_S17_L001_R1_fastp.fastq.gz	/scratch/16S-M/Data/fastp/P1546_17_RS062024_5_1_16S_M_S17_L001_R2_fastp.fastq.gz	14	5_1	6_25_2024	11:22	23	21	4	754.73	24.84145	-80.83285	Block	50	north
P1546_3_RS062024_5_2_16S_M_S3_L001	/scratch/16S-M/Data/fastp/P1546_3_RS062024_5_2_16S_M_S3_L001_R1_fastp.fastq.gz	/scratch/16S-M/Data/fastp/P1546_3_RS062024_5_2_16S_M_S3_L001_R2_fastp.fastq.gz	14	5_2	6_25_2024	11:22	23	21	4	754.73	24.84145	-80.83285	Block	50	north
P1546_21_RS062024_7_2_16S_M_S21_L001	/scratch/16S-M/Data/fastp/P1546_21_RS062024_7_2_16S_M_S21_L001_R1_fastp.fastq.gz	/scratch/16S-M/Data/fastp/P1546_21_RS062024_7_2_16S_M_S21_L001_R2_fastp.fastq.gz	17	7_2	6_26_2024	10:24	8	8	1	292.5	24.799	-80.90677	Block	18	north
P1546_18_RS062024_7_1_16S_M_S18_L001	/scratch/16S-M/Data/fastp/P1546_18_RS062024_7_1_16S_M_S18_L001_R1_fastp.fastq.gz	/scratch/16S-M/Data/fastp/P1546_18_RS062024_7_1_16S_M_S18_L001_R2_fastp.fastq.gz	17	7_1	6_26_2024	10:24	8	8	1	292.5	24.799	-80.90677	Block	18	north
P1546_28_RS062024_7_3_16S_M_S28_L001	/scratch/16S-M/Data/fastp/P1546_28_RS062024_7_3_16S_M_S28_L001_R1_fastp.fastq.gz	/scratch/16S-M/Data/fastp/P1546_28_RS062024_7_3_16S_M_S28_L001_R2_fastp.fastq.gz	17	7_3	6_26_2024	10:24	8	8	1	292.5	24.799	-80.90677	Block	18	north
P1546_30_RS062024_2_2_16S_M_S30_L001	/scratch/16S-M/Data/fastp/P1546_30_RS062024_2_2_16S_M_S30_L001_R1_fastp.fastq.gz	/scratch/16S-M/Data/fastp/P1546_30_RS062024_2_2_16S_M_S30_L001_R2_fastp.fastq.gz	20	2_2	6_24_2024	13:15	28	22	0	1427.62	24.69854	-81.49391	Natural		south
P1546_33_RS062024_2_1_16S_M_S33_L001	/scratch/16S-M/Data/fastp/P1546_33_RS062024_2_1_16S_M_S33_L001_R1_fastp.fastq.gz	/scratch/16S-M/Data/fastp/P1546_33_RS062024_2_1_16S_M_S33_L001_R2_fastp.fastq.gz	20	2_1	6_24_2024	13:15	28	22	0	1286.47	24.69854	-81.49391	Natural		south
P1546_27_RS062024_2_3_16S_M_S27_L001	/scratch/16S-M/Data/fastp/P1546_27_RS062024_2_3_16S_M_S27_L001_R1_fastp.fastq.gz	/scratch/16S-M/Data/fastp/P1546_27_RS062024_2_3_16S_M_S27_L001_R2_fastp.fastq.gz	20	2_3	6_24_2024	13:15	28	22	0	1286.47	24.69854	-81.49391	Natural		south
P1546_24_RS062024_1_1_16S_M_S24_L001	/scratch/16S-M/Data/fastp/P1546_24_RS062024_1_1_16S_M_S24_L001_R1_fastp.fastq.gz	/scratch/16S-M/Data/fastp/P1546_24_RS062024_1_1_16S_M_S24_L001_R2_fastp.fastq.gz	21	1_1	6_24_2024	10:57	32	23	1	1427.62	24.69856	-81.49394	Natural		south
P1546_19_RS062024_1_2_16S_M_S19_L001	/scratch/16S-M/Data/fastp/P1546_19_RS062024_1_2_16S_M_S19_L001_R1_fastp.fastq.gz	/scratch/16S-M/Data/fastp/P1546_19_RS062024_1_2_16S_M_S19_L001_R2_fastp.fastq.gz	21	1_2	6_24_2024	10:57	32	23	1	1427.62	24.69856	-81.49394	Natural		south
P1546_20_RS062024_1_3_16S_M_S20_L001	/scratch/16S-M/Data/fastp/P1546_20_RS062024_1_3_16S_M_S20_L001_R1_fastp.fastq.gz	/scratch/16S-M/Data/fastp/P1546_20_RS062024_1_3_16S_M_S20_L001_R2_fastp.fastq.gz	21	1_3	6_24_2024	10:57	32	23	1	1427.62	24.69856	-81.49394	Natural		south
P1546_13_RS062024_12_2_16S_M_S13_L001	/scratch/16S-M/Data/fastp/P1546_13_RS062024_12_2_16S_M_S13_L001_R1_fastp.fastq.gz	/scratch/16S-M/Data/fastp/P1546_13_RS062024_12_2_16S_M_S13_L001_R2_fastp.fastq.gz	4_24	12_2	6_27_2024	12:40	66	50	1	2317.4	24.73822	-81.04939	Natural		north
P1546_16_RS062024_12_1_16S_M_S16_L001	/scratch/16S-M/Data/fastp/P1546_16_RS062024_12_1_16S_M_S16_L001_R1_fastp.fastq.gz	/scratch/16S-M/Data/fastp/P1546_16_RS062024_12_1_16S_M_S16_L001_R2_fastp.fastq.gz	4_24	12_1	6_27_2024	12:40	66	50	1	2317.4	24.73822	-81.04939	Natural		north
P1546_11_RS06204_12_3_16S_M_S11_L001	/scratch/16S-M/Data/fastp/P1546_11_RS06204_12_3_16S_M_S11_L001_R1_fastp.fastq.gz	/scratch/16S-M/Data/fastp/P1546_11_RS06204_12_3_16S_M_S11_L001_R2_fastp.fastq.gz	4_24	12_3	6_27_2024	12:40	66	50	1	2317.4	24.73822	-81.04939	Natural		north
